,Sequence,Events,Date,Speed
0,1426,Idle Alert,Dec 17 2024 11:58 PM,0
1,1425,Idle Alert,Dec 17 2024 11:53 PM,0
2,1424,Idle Alert,Dec 17 2024 11:48 PM,0
3,1423,Idle Alert,Dec 17 2024 11:43 PM,0
4,1422,Idle Alert,Dec 17 2024 11:38 PM,0
5,1421,Idle Alert,Dec 17 2024 11:33 PM,0
6,1420,Idle Alert,Dec 17 2024 11:28 PM,0
7,1419,Idle Alert,Dec 17 2024 11:23 PM,0
8,1418,Idle Alert,Dec 17 2024 11:18 PM,0
9,1417,Idle Alert,Dec 17 2024 11:13 PM,0
10,1416,Idle Alert,Dec 17 2024 11:08 PM,0
11,1415,Idle Alert,Dec 17 2024 11:03 PM,0
12,1414,Idle Alert,Dec 17 2024 10:58 PM,0
13,1413,Idle Alert,Dec 17 2024 10:53 PM,0
14,1412,Idle Alert,Dec 17 2024 10:48 PM,0
15,1411,Idle Alert,Dec 17 2024 10:43 PM,0
16,1410,Idle Alert,Dec 17 2024 10:38 PM,0
17,1409,Idle Alert,Dec 17 2024 10:33 PM,0
18,1408,Idle Alert,Dec 17 2024 10:28 PM,0
19,1407,Idle Alert,Dec 17 2024 10:23 PM,0
20,1406,Idle Alert,Dec 17 2024 10:18 PM,0
21,1405,Idle Alert,Dec 17 2024 10:13 PM,0
22,1404,Idle Alert,Dec 17 2024 10:08 PM,0
23,1403,Idle Alert,Dec 17 2024 10:03 PM,0
24,1402,Idle Alert,Dec 17 2024 09:58 PM,0
25,1401,Idle Alert,Dec 17 2024 09:53 PM,0
26,1400,Idle Alert,Dec 17 2024 09:48 PM,0
27,1399,Idle Alert,Dec 17 2024 09:43 PM,0
28,1398,Idle Alert,Dec 17 2024 09:38 PM,0
29,1397,Idle Alert,Dec 17 2024 09:33 PM,0
30,1396,Idle Alert,Dec 17 2024 09:28 PM,0
31,1395,Idle Alert,Dec 17 2024 09:23 PM,0
32,1394,Idle Alert,Dec 17 2024 09:18 PM,0
33,1393,Idle Alert,Dec 17 2024 09:13 PM,0
34,1392,Idle Alert,Dec 17 2024 09:08 PM,0
35,1391,Idle Alert,Dec 17 2024 09:03 PM,0
36,1390,Idle Alert,Dec 17 2024 08:58 PM,0
37,1389,Idle Alert,Dec 17 2024 08:53 PM,0
38,1388,Idle Alert,Dec 17 2024 08:48 PM,0
39,1387,Idle Alert,Dec 17 2024 08:43 PM,0
40,1386,Idle Alert,Dec 17 2024 08:38 PM,0
41,1385,Idle Alert,Dec 17 2024 08:33 PM,0
42,1384,Idle Alert,Dec 17 2024 08:28 PM,0
43,1383,Idle Alert,Dec 17 2024 08:23 PM,0
44,1382,Idle Alert,Dec 17 2024 08:18 PM,0
45,1381,Idle Alert,Dec 17 2024 08:13 PM,0
46,1380,Idle Alert,Dec 17 2024 08:08 PM,0
47,1379,Idle Alert,Dec 17 2024 08:03 PM,0
48,1378,Idle Alert,Dec 17 2024 07:58 PM,0
49,1377,Idle Alert,Dec 17 2024 07:53 PM,0
57,1369,Idle Alert,Dec 17 2024 07:45 PM,9
105,1321,Idle Alert,Dec 17 2024 06:30 PM,0
140,1286,Idle Alert,Dec 17 2024 05:29 PM,0
141,1285,Idle Alert,Dec 17 2024 05:24 PM,0
142,1284,Idle Alert,Dec 17 2024 05:19 PM,0
258,1168,Idle Alert,Dec 17 2024 02:02 PM,0
259,1167,Idle Alert,Dec 17 2024 01:57 PM,0
260,1166,Idle Alert,Dec 17 2024 01:52 PM,0
278,1148,Idle Alert,Dec 17 2024 01:31 PM,1
279,1147,Idle Alert,Dec 17 2024 01:26 PM,0
281,1145,Idle Alert,Dec 17 2024 01:21 PM,0
282,1144,Idle Alert,Dec 17 2024 01:16 PM,0
283,1143,Idle Alert,Dec 17 2024 01:11 PM,0
285,1141,Idle Alert,Dec 17 2024 01:06 PM,0
286,1140,Idle Alert,Dec 17 2024 01:01 PM,0
288,1138,Idle Alert,Dec 17 2024 12:56 PM,0
289,1137,Idle Alert,Dec 17 2024 12:51 PM,0
553,873,Idle Alert,Dec 17 2024 11:01 AM,0
554,872,Idle Alert,Dec 17 2024 10:56 AM,0
895,531,Idle Alert,Dec 17 2024 05:59 AM,4
900,526,Idle Alert,Dec 17 2024 05:50 AM,0
901,525,Idle Alert,Dec 17 2024 05:45 AM,3
902,524,Idle Alert,Dec 17 2024 05:40 AM,0
903,523,Idle Alert,Dec 17 2024 05:35 AM,0
904,522,Idle Alert,Dec 17 2024 05:30 AM,0
905,521,Idle Alert,Dec 17 2024 05:25 AM,0
906,520,Idle Alert,Dec 17 2024 05:20 AM,1
907,519,Idle Alert,Dec 17 2024 05:15 AM,0
908,518,Idle Alert,Dec 17 2024 05:10 AM,0
909,517,Idle Alert,Dec 17 2024 05:05 AM,0
910,516,Idle Alert,Dec 17 2024 05:00 AM,0
911,515,Idle Alert,Dec 17 2024 04:55 AM,0
912,514,Idle Alert,Dec 17 2024 04:50 AM,0
913,513,Idle Alert,Dec 17 2024 04:45 AM,0
914,512,Idle Alert,Dec 17 2024 04:40 AM,0
915,511,Idle Alert,Dec 17 2024 04:35 AM,0
916,510,Idle Alert,Dec 17 2024 04:30 AM,0
917,509,Idle Alert,Dec 17 2024 04:25 AM,0
918,508,Idle Alert,Dec 17 2024 04:20 AM,0
919,507,Idle Alert,Dec 17 2024 04:15 AM,0
920,506,Idle Alert,Dec 17 2024 04:10 AM,0
1323,103,Idle Alert,Dec 17 2024 12:46 AM,0
