,Unit,Time
79504,GHO935,10/1/2024 8:43:03 AM
79505,GHO935,10/1/2024 8:43:14 AM
79506,GHO935,10/1/2024 8:43:39 AM
79507,GHO935,10/1/2024 8:43:49 AM
79508,GHO935,10/1/2024 8:44:57 AM
79509,GHO935,10/1/2024 8:46:56 AM
79510,GHO935,10/1/2024 8:46:56 AM
79511,GHO935,10/1/2024 8:48:55 AM
79512,GHO935,10/1/2024 8:48:55 AM
79513,GHO935,10/1/2024 8:50:54 AM
79514,GHO935,10/1/2024 8:52:53 AM
79515,GHO935,10/1/2024 8:54:35 AM
79516,GHO935,10/1/2024 8:54:35 AM
79517,GHO935,10/1/2024 8:54:36 AM
79518,GHO935,10/1/2024 8:58:03 AM
79519,GHO935,10/1/2024 8:58:38 AM
79520,GHO935,10/1/2024 8:58:38 AM
79521,GHO935,10/1/2024 8:59:12 AM
79522,GHO935,10/1/2024 8:59:12 AM
79523,GHO935,10/1/2024 8:59:20 AM
79524,GHO935,10/1/2024 8:59:20 AM
79525,GHO935,10/1/2024 8:59:37 AM
79526,GHO935,10/1/2024 8:59:37 AM
79527,GHO935,10/1/2024 9:01:36 AM
79528,GHO935,10/1/2024 9:01:36 AM
79529,GHO935,10/1/2024 9:03:53 AM
79530,GHO935,10/1/2024 9:03:53 AM
79531,GHO935,10/1/2024 9:04:24 AM
79532,GHO935,10/1/2024 9:06:23 AM
79533,GHO935,10/1/2024 9:06:23 AM
79534,GHO935,10/1/2024 9:08:22 AM
79535,GHO935,10/1/2024 9:08:22 AM
79536,GHO935,10/1/2024 9:10:20 AM
79537,GHO935,10/1/2024 9:12:19 AM
79538,GHO935,10/1/2024 9:13:28 AM
79539,GHO935,10/1/2024 9:13:28 AM
79540,GHO935,10/1/2024 9:13:49 AM
79541,GHO935,10/1/2024 9:14:34 AM
79542,GHO935,10/1/2024 9:15:39 AM
79543,GHO935,10/1/2024 9:15:53 AM
79544,GHO935,10/1/2024 9:15:53 AM
79545,GHO935,10/1/2024 9:16:47 AM
79546,GHO935,10/1/2024 9:17:03 AM
79547,GHO935,10/1/2024 9:17:28 AM
79548,GHO935,10/1/2024 9:18:45 AM
79549,GHO935,10/1/2024 9:19:08 AM
79550,GHO935,10/1/2024 9:19:19 AM
79551,GHO935,10/1/2024 9:20:15 AM
79552,GHO935,10/1/2024 9:21:30 AM
79553,GHO935,10/1/2024 9:23:29 AM
79554,GHO935,10/1/2024 9:23:43 AM
79555,GHO935,10/1/2024 9:25:41 AM
79556,GHO935,10/1/2024 9:25:47 AM
79557,GHO935,10/1/2024 9:25:57 AM
79558,GHO935,10/1/2024 9:26:55 AM
79559,GHO935,10/1/2024 9:27:44 AM
79560,GHO935,10/1/2024 9:28:13 AM
79561,GHO935,10/1/2024 9:28:34 AM
79562,GHO935,10/1/2024 9:28:45 AM
79563,GHO935,10/1/2024 9:29:14 AM
79564,GHO935,10/1/2024 9:30:06 AM
79565,GHO935,10/1/2024 9:30:42 AM
79566,GHO935,10/1/2024 9:31:07 AM
79567,GHO935,10/1/2024 9:33:06 AM
79568,GHO935,10/1/2024 9:33:51 AM
79569,GHO935,10/1/2024 9:34:42 AM
79570,GHO935,10/1/2024 9:34:58 AM
79571,GHO935,10/1/2024 9:36:57 AM
79572,GHO935,10/1/2024 9:38:56 AM
79573,GHO935,10/1/2024 9:40:55 AM
79574,GHO935,10/1/2024 9:40:55 AM
79575,GHO935,10/1/2024 9:41:58 AM
79576,GHO935,10/1/2024 9:42:32 AM
79577,GHO935,10/1/2024 9:42:51 AM
79578,GHO935,10/1/2024 9:43:06 AM
79579,GHO935,10/1/2024 9:45:04 AM
79580,GHO935,10/1/2024 9:47:03 AM
79581,GHO935,10/1/2024 9:47:03 AM
79582,GHO935,10/1/2024 9:48:49 AM
79583,GHO935,10/1/2024 9:48:49 AM
79584,GHO935,10/1/2024 9:50:16 AM
79585,GHO935,10/1/2024 9:50:55 AM
79586,GHO935,10/1/2024 9:52:53 AM
79587,GHO935,10/1/2024 9:53:19 AM
79588,GHO935,10/1/2024 9:53:38 AM
79589,GHO935,10/1/2024 9:53:46 AM
79590,GHO935,10/1/2024 9:53:49 AM
79591,GHO935,10/1/2024 9:53:59 AM
79592,GHO935,10/1/2024 9:54:13 AM
79593,GHO935,10/1/2024 9:54:23 AM
79594,GHO935,10/1/2024 9:54:34 AM
79595,GHO935,10/1/2024 9:54:58 AM
79596,GHO935,10/1/2024 9:56:41 AM
79597,GHO935,10/1/2024 9:57:04 AM
79598,GHO935,10/1/2024 9:57:13 AM
79599,GHO935,10/1/2024 9:57:34 AM
79600,GHO935,10/1/2024 9:57:57 AM
79601,GHO935,10/1/2024 9:58:23 AM
79602,GHO935,10/1/2024 9:59:56 AM
79603,GHO935,10/1/2024 10:00:23 AM
79604,GHO935,10/1/2024 10:00:45 AM
79605,GHO935,10/1/2024 10:01:09 AM
79606,GHO935,10/1/2024 10:03:08 AM
79607,GHO935,10/1/2024 10:03:37 AM
79608,GHO935,10/1/2024 10:04:10 AM
79609,GHO935,10/1/2024 10:06:09 AM
79610,GHO935,10/1/2024 10:07:14 AM
79611,GHO935,10/1/2024 10:08:16 AM
79612,GHO935,10/1/2024 10:10:01 AM
79613,GHO935,10/1/2024 10:10:13 AM
79614,GHO935,10/1/2024 10:10:40 AM
79615,GHO935,10/1/2024 10:12:06 AM
79616,GHO935,10/1/2024 10:12:18 AM
79617,GHO935,10/1/2024 10:12:57 AM
79618,GHO935,10/1/2024 10:14:56 AM
79619,GHO935,10/1/2024 10:16:55 AM
79620,GHO935,10/1/2024 10:17:18 AM
79621,GHO935,10/1/2024 10:18:03 AM
79622,GHO935,10/1/2024 10:18:29 AM
79623,GHO935,10/1/2024 10:20:05 AM
79624,GHO935,10/1/2024 10:20:35 AM
79625,GHO935,10/1/2024 10:22:34 AM
