DOCUMENTO,CUENTA,RAZON SOCIAL,LINEA,CICLO,SIMCARD,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,TOTAL
900361602,1014263356,TRACKING SOLUTIONS TSO,9101164041,26,8957123111901412189,12.26,13.07,15.05,13.49,12.34,12.34,13.09
900361602,1014263356,TRACKING SOLUTIONS TSO,9101140882,26,8957123411800584033,12.95,11.69,9.93,12.34,12.66,12.66,12.04
900361602,1014263356,TRACKING SOLUTIONS TSO,9101431610,26,8957123112215169192,7.63,13.02,13.49,11.80,11.15,11.15,11.37
900361602,1014263356,TRACKING SOLUTIONS TSO,9101167789,26,8957123112215163229,17.38,13.20,17.43,10.57,3.97,3.97,11.09
900361602,1014263356,TRACKING SOLUTIONS TSO,9101195502,26,8957123112215169333,6.51,6.40,7.52,7.74,18.41,18.41,10.83
900361602,1014263356,TRACKING SOLUTIONS TSO,9101138933,26,8957123411800053252,14.08,13.00,14.31,14.42,4.14,4.14,10.68
900361602,1014263356,TRACKING SOLUTIONS TSO,9101126880,26,8957123112215348275,35.72,5.10,6.69,5.59,5.35,5.35,10.63
900361602,1014263356,TRACKING SOLUTIONS TSO,9101141801,26,8957123112006378630,9.26,9.88,12.96,10.84,9.89,9.89,10.45
900361602,1014263356,TRACKING SOLUTIONS TSO,9101148530,26,8957123111901412148,11.58,11.70,12.73,11.64,7.47,7.47,10.43
900361602,1014263356,TRACKING SOLUTIONS TSO,9101153389,26,8957123112009139096,8.84,8.02,8.30,8.87,13.45,13.45,10.16
900361602,1014263356,TRACKING SOLUTIONS TSO,9101178358,26,8957123112009139344,9.68,9.57,9.72,10.36,10.08,10.08,9.91
900361602,1014263356,TRACKING SOLUTIONS TSO,9101329885,26,8957123112009139336,8.66,9.84,10.93,9.79,9.92,9.92,9.84
900361602,1014263356,TRACKING SOLUTIONS TSO,9101146648,26,8957123111901412155,12.19,11.94,11.86,11.31,5.55,5.55,9.73
900361602,1014263356,TRACKING SOLUTIONS TSO,9101144641,26,8957123411800583969,12.33,9.91,11.71,12.30,6.05,6.05,9.72
900361602,1014263356,TRACKING SOLUTIONS TSO,9101275760,26,8957123110545806723,4.99,6.32,6.74,6.35,16.68,16.68,9.63
900361602,1014263356,TRACKING SOLUTIONS TSO,9101146581,26,8957123411800583985,14.29,13.14,12.50,11.05,2.91,2.91,9.47
900361602,1014263356,TRACKING SOLUTIONS TSO,9101163588,26,8957123112215165646,2.45,2.58,15.46,27.24,4.43,4.43,9.43
900361602,1014263356,TRACKING SOLUTIONS TSO,9101415583,26,8957123112215340298,10.42,9.46,10.19,8.36,8.71,8.71,9.31
900361602,1014263356,TRACKING SOLUTIONS TSO,9101197449,26,8957123111416388528,10.39,9.28,21.95,7.08,3.54,3.54,9.30
900361602,1014263356,TRACKING SOLUTIONS TSO,9101142761,26,8957123111901412098,9.84,8.99,9.35,7.62,9.70,9.70,9.20
900361602,1014263356,TRACKING SOLUTIONS TSO,9101326828,26,8957123112215382472,0.77,0.00,12.60,17.23,12.10,12.10,9.13
900361602,1014263356,TRACKING SOLUTIONS TSO,9101386494,26,8957123112215168202,10.48,9.31,9.24,8.91,8.27,8.27,9.08
900361602,1014263356,TRACKING SOLUTIONS TSO,9101392591,26,8957123112215161538,13.49,8.31,5.86,9.67,7.70,7.70,8.79
900361602,1014263356,TRACKING SOLUTIONS TSO,9101140849,26,8957123111901412395,8.94,8.80,9.84,13.48,5.40,5.40,8.64
900361602,1014263356,TRACKING SOLUTIONS TSO,9101324110,26,8957123112006379315,8.05,7.49,8.39,10.39,8.63,8.63,8.60
900361602,1014263356,TRACKING SOLUTIONS TSO,9101382596,26,8957123112215167345,5.41,3.33,4.54,8.48,14.75,14.75,8.55
900361602,1014263356,TRACKING SOLUTIONS TSO,9101392310,26,8957123112215170117,6.28,6.43,9.68,9.40,9.65,9.65,8.51
900361602,1014263356,TRACKING SOLUTIONS TSO,9101164749,26,8957123112215383868,4.44,6.60,22.59,7.25,5.74,5.74,8.73
900361602,1014263356,TRACKING SOLUTIONS TSO,9101324207,26,8957123411800051009,7.30,6.56,7.08,10.66,9.60,9.60,8.47
900361602,1014263356,TRACKING SOLUTIONS TSO,9101151929,26,8957123112215162692,8.15,7.03,8.49,8.52,9.22,9.22,8.44
900361602,1014263356,TRACKING SOLUTIONS TSO,9101150511,26,8957123112009139294,6.32,7.69,15.98,8.85,5.87,5.87,8.43
900361602,1014263356,TRACKING SOLUTIONS TSO,9101180246,26,8957123111416388585,4.82,8.78,5.01,6.43,12.74,12.74,8.42
900361602,1014263356,TRACKING SOLUTIONS TSO,9101137977,26,8957123112102786470,9.21,7.82,9.05,8.30,7.82,7.82,8.33
900361602,1014263356,TRACKING SOLUTIONS TSO,9101164029,26,8957123112102786629,5.04,5.19,14.90,5.59,9.39,9.39,8.25
900361602,1014263356,TRACKING SOLUTIONS TSO,9101152294,26,8957123112215163211,9.59,12.09,7.25,2.56,8.58,8.58,8.11
900361602,1014263356,TRACKING SOLUTIONS TSO,9101175821,26,8957123112215166479,8.78,7.34,9.04,8.45,7.42,7.42,8.07
900361602,1014263356,TRACKING SOLUTIONS TSO,9101367451,26,8957123112215382712,0.77,3.19,10.55,11.82,10.98,10.98,8.05
900361602,1014263356,TRACKING SOLUTIONS TSO,9101162534,26,8957123112215163401,8.70,7.20,7.81,7.30,8.60,8.60,8.04
900361602,1014263356,TRACKING SOLUTIONS TSO,9101184312,26,8957123110538885189,8.28,7.61,8.49,5.51,9.11,9.11,8.02
900361602,1014263356,TRACKING SOLUTIONS TSO,9101152422,26,8957123111901412106,4.99,3.54,10.45,12.33,8.39,8.39,8.02
900361602,1014263356,TRACKING SOLUTIONS TSO,9101180258,26,8957123611201373841,7.73,7.12,8.88,8.70,7.65,7.65,7.95
900361602,1014263356,TRACKING SOLUTIONS TSO,9101182943,26,8957123112215168426,8.05,6.85,8.66,7.74,8.21,8.21,7.95
900361602,1014263356,TRACKING SOLUTIONS TSO,9101146314,26,8957123112215165828,7.89,7.51,8.11,8.23,7.93,7.93,7.93
900361602,1014263356,TRACKING SOLUTIONS TSO,9101165915,26,8957123411800584009,7.24,8.30,8.36,8.02,7.81,7.81,7.92
900361602,1014263356,TRACKING SOLUTIONS TSO,9101382471,26,8957123112215380526,0.76,3.63,8.66,10.96,11.66,11.66,7.89
900361602,1014263356,TRACKING SOLUTIONS TSO,9101400303,26,8957123112215169879,8.41,8.54,7.70,9.04,6.66,6.66,7.84
900361602,1014263356,TRACKING SOLUTIONS TSO,9101388732,26,8957123112215160647,0.00,1.58,5.15,12.53,13.87,13.87,7.83
900361602,1014263356,TRACKING SOLUTIONS TSO,9101326629,26,8957123112215162650,8.41,7.05,8.00,8.33,7.59,7.59,7.83
900361602,1014263356,TRACKING SOLUTIONS TSO,9101150848,26,8957123112215162742,8.22,6.78,8.39,8.21,7.68,7.68,7.83
900361602,1014263356,TRACKING SOLUTIONS TSO,9101342666,26,8957123112215384031,8.59,7.09,7.99,6.15,8.48,8.48,7.80
900361602,1014263356,TRACKING SOLUTIONS TSO,9101163818,26,8957123112215166545,8.14,8.05,8.44,7.69,7.18,7.18,7.78
900361602,1014263356,TRACKING SOLUTIONS TSO,9101142660,26,8957123112215165810,8.29,6.86,9.53,7.61,7.03,7.03,7.73
900361602,1014263356,TRACKING SOLUTIONS TSO,9101182238,26,8957123112009139286,9.06,7.06,8.49,7.38,7.18,7.18,7.72
900361602,1014263356,TRACKING SOLUTIONS TSO,9101261176,26,8957123112215162809,7.97,6.85,8.61,7.29,7.81,7.81,7.72
900361602,1014263356,TRACKING SOLUTIONS TSO,9101403054,26,8957123112115871939,8.31,8.05,7.88,7.66,7.21,7.21,7.72
900361602,1014263356,TRACKING SOLUTIONS TSO,9101304726,26,8957123112215162817,8.04,7.56,7.62,8.40,7.31,7.31,7.71
900361602,1014263356,TRACKING SOLUTIONS TSO,9101144670,26,8957123111901412080,9.84,9.75,10.19,11.03,2.71,2.71,7.71
900361602,1014263356,TRACKING SOLUTIONS TSO,9101379661,26,8957123112215383678,7.94,7.26,8.40,8.13,7.21,7.21,7.70
900361602,1014263356,TRACKING SOLUTIONS TSO,9101172212,26,8957123112215160621,8.70,6.33,8.20,7.96,7.45,7.45,7.68
900361602,1014263356,TRACKING SOLUTIONS TSO,9101327991,26,8957123411800049912,13.06,12.29,12.33,8.35,0.00,0.00,7.67
900361602,1014263356,TRACKING SOLUTIONS TSO,9101338343,26,8957123112215383454,0.00,0.00,5.33,4.53,18.02,18.02,7.65
900361602,1014263356,TRACKING SOLUTIONS TSO,9101050886,26,8957123112215167162,7.89,7.74,8.40,7.82,6.99,6.99,7.64
900361602,1014263356,TRACKING SOLUTIONS TSO,9101420899,26,8957123112215167360,7.97,7.05,8.03,7.54,7.48,7.48,7.59
900361602,1014263356,TRACKING SOLUTIONS TSO,9101294358,26,8957123112215160829,3.18,3.36,3.87,10.02,12.54,12.54,7.58
900361602,1014263356,TRACKING SOLUTIONS TSO,9101282233,26,8957123112215165463,8.30,7.53,7.60,7.72,7.16,7.16,7.58
900361602,1014263356,TRACKING SOLUTIONS TSO,9101174466,26,8957123110542474749,7.96,7.37,7.67,8.21,7.11,7.11,7.57
900361602,1014263356,TRACKING SOLUTIONS TSO,9101188189,26,8957123112009139047,7.00,5.84,12.17,7.74,6.31,6.31,7.56
900361602,1014263356,TRACKING SOLUTIONS TSO,9101170595,26,8957123110545807267,7.89,7.33,7.38,8.04,7.36,7.36,7.56
900361602,1014263356,TRACKING SOLUTIONS TSO,9101358269,26,8957123112215162833,7.82,7.38,7.46,7.89,7.36,7.36,7.55
900361602,1014263356,TRACKING SOLUTIONS TSO,9101181712,26,8957123112215165950,3.74,3.12,23.35,3.11,5.96,5.96,7.54
900361602,1014263356,TRACKING SOLUTIONS TSO,9101179427,26,8957123112009139237,8.63,7.93,5.74,10.94,5.99,5.99,7.54
900361602,1014263356,TRACKING SOLUTIONS TSO,9101147349,26,8957123112215383702,7.82,6.93,8.16,7.53,7.36,7.36,7.53
900361602,1014263356,TRACKING SOLUTIONS TSO,9101160741,26,8957123112215383694,8.17,7.13,7.92,8.09,6.87,6.87,7.51
900361602,1014263356,TRACKING SOLUTIONS TSO,9101059817,26,8957123112215164292,6.41,7.99,8.27,8.27,7.04,7.04,7.50
900361602,1014263356,TRACKING SOLUTIONS TSO,9101264821,26,8957123112215166206,7.59,7.41,8.16,7.63,7.01,7.01,7.47
900361602,1014263356,TRACKING SOLUTIONS TSO,9101168073,26,8957123112215168509,7.79,7.34,7.82,7.74,7.04,7.04,7.46
900361602,1014263356,TRACKING SOLUTIONS TSO,9101153775,26,8957123112215162775,7.39,7.75,8.12,8.18,6.63,6.63,7.45
900361602,1014263356,TRACKING SOLUTIONS TSO,9101352250,26,8957123112215383736,7.40,7.13,7.94,7.64,7.19,7.19,7.42
900361602,1014263356,TRACKING SOLUTIONS TSO,9101432993,26,8957123112215166271,3.08,2.39,3.62,6.08,14.57,14.57,7.38
900361602,1014263356,TRACKING SOLUTIONS TSO,9101330741,26,8957123112215383710,7.76,6.75,7.94,7.79,7.00,7.00,7.38
900361602,1014263356,TRACKING SOLUTIONS TSO,9101067187,26,8957123112215164409,7.42,8.61,7.35,7.92,6.47,6.47,7.37
900361602,1014263356,TRACKING SOLUTIONS TSO,9101180314,26,8957123112102787866,5.19,6.97,8.36,7.40,8.15,8.15,7.37
900361602,1014263356,TRACKING SOLUTIONS TSO,9101411975,26,8957123112215169010,7.63,6.57,8.15,7.64,7.11,7.11,7.37
900361602,1014263356,TRACKING SOLUTIONS TSO,9101341012,26,8957123112215383660,8.03,6.94,8.05,7.99,6.59,6.59,7.37
900361602,1014263356,TRACKING SOLUTIONS TSO,9101148580,26,8957123111901412197,8.19,8.82,7.21,7.23,6.37,6.37,7.37
900361602,1014263356,TRACKING SOLUTIONS TSO,9101167645,26,8957123112215160357,0.37,1.38,0.25,0.28,20.94,20.94,7.36
900361602,1014263356,TRACKING SOLUTIONS TSO,9101379650,26,8957123112215383652,7.98,6.90,7.93,7.69,6.82,6.82,7.36
900361602,1014263356,TRACKING SOLUTIONS TSO,9101424960,26,8957123112215166255,7.57,5.53,8.59,8.23,7.09,7.09,7.35
900361602,1014263356,TRACKING SOLUTIONS TSO,9101154642,26,8957123112215169416,6.65,7.04,7.97,7.94,7.10,7.10,7.30
900361602,1014263356,TRACKING SOLUTIONS TSO,9101401868,26,8957123112215163013,6.87,8.27,8.02,8.61,5.98,5.98,7.29
900361602,1014263356,TRACKING SOLUTIONS TSO,9101380569,26,8957123112215384007,8.06,6.65,8.21,8.09,6.34,6.34,7.28
900361602,1014263356,TRACKING SOLUTIONS TSO,9101153785,26,8957123112215162767,8.24,7.95,4.81,6.72,7.97,7.97,7.27
900361602,1014263356,TRACKING SOLUTIONS TSO,9101433489,26,8957123112215165125,4.87,4.64,9.58,9.32,7.59,7.59,7.27
900361602,1014263356,TRACKING SOLUTIONS TSO,9101074065,26,8957123112215380567,0.75,6.71,13.07,8.95,7.03,7.03,7.26
900361602,1014263356,TRACKING SOLUTIONS TSO,9101148380,26,8957123112215163286,7.41,7.07,8.28,6.75,7.00,7.00,7.25
900361602,1014263356,TRACKING SOLUTIONS TSO,9101173958,26,8957123112215383744,8.11,6.96,7.73,7.74,6.49,6.49,7.25
900361602,1014263356,TRACKING SOLUTIONS TSO,9101062331,26,8957123112215164250,6.76,6.62,7.80,7.40,7.46,7.46,7.25
900361602,1014263356,TRACKING SOLUTIONS TSO,9101328017,26,8957123411800051132,27.58,3.12,3.12,3.52,3.05,3.05,7.24
900361602,1014263356,TRACKING SOLUTIONS TSO,9101324117,26,8957123411800049789,9.34,1.40,8.97,8.30,7.67,7.67,7.23
900361602,1014263356,TRACKING SOLUTIONS TSO,9101435527,26,8957123112215340801,8.43,7.14,7.97,5.65,7.06,7.06,7.22
900361602,1014263356,TRACKING SOLUTIONS TSO,9101192023,26,8957123112102786405,3.69,2.90,2.59,2.90,15.43,15.43,7.16
900361602,1014263356,TRACKING SOLUTIONS TSO,9101180297,26,8957123112102787668,5.78,11.82,9.72,7.92,3.83,3.83,7.15
900361602,1014263356,TRACKING SOLUTIONS TSO,9101190177,26,8957123112102788021,7.37,6.20,8.07,6.84,7.19,7.19,7.14
900361602,1014263356,TRACKING SOLUTIONS TSO,9101165961,26,8957123411800583860,6.77,6.91,7.69,7.06,7.17,7.17,7.13
900361602,1014263356,TRACKING SOLUTIONS TSO,9101188201,26,8957123111415884592,6.26,7.09,7.37,8.90,6.55,6.55,7.12
900361602,1014263356,TRACKING SOLUTIONS TSO,9101431625,26,8957123112215165117,6.23,6.73,8.12,6.81,7.35,7.35,7.10
900361602,1014263356,TRACKING SOLUTIONS TSO,9101055720,26,8957123112215164276,5.62,7.47,8.18,7.29,6.96,6.96,7.08
900361602,1014263356,TRACKING SOLUTIONS TSO,9101367982,26,8957123112215167352,15.66,4.19,5.70,6.45,5.12,5.12,7.04
900361602,1014263356,TRACKING SOLUTIONS TSO,9101187821,26,8957123112215169424,7.83,7.66,7.05,7.02,6.33,6.33,7.04
900361602,1014263356,TRACKING SOLUTIONS TSO,9101150407,26,8957123411800053328,6.84,4.16,9.61,8.62,6.50,6.50,7.04
900361602,1014263356,TRACKING SOLUTIONS TSO,9101404130,26,8957123112215160639,8.29,7.96,1.96,7.12,8.35,8.35,7.00
900361602,1014263356,TRACKING SOLUTIONS TSO,9101072110,26,8957123112215167402,7.47,6.38,6.84,7.23,6.94,6.94,6.97
900361602,1014263356,TRACKING SOLUTIONS TSO,9101164230,26,8957123112215166818,8.29,7.14,7.85,7.73,5.38,5.38,6.96
900361602,1014263356,TRACKING SOLUTIONS TSO,9101170599,26,8957123111418035341,7.05,6.56,7.72,7.18,6.41,6.41,6.89
900361602,1014263356,TRACKING SOLUTIONS TSO,9101188166,26,8957123311903277925,7.80,6.95,6.34,7.36,6.36,6.36,6.86
900361602,1014263356,TRACKING SOLUTIONS TSO,9101192619,26,8957123112215165588,5.36,6.15,7.80,8.18,6.82,6.82,6.85
900361602,1014263356,TRACKING SOLUTIONS TSO,9101298908,26,8957123112115871897,7.93,7.58,6.56,6.43,6.31,6.31,6.85
900361602,1014263356,TRACKING SOLUTIONS TSO,9101167647,26,8957123112215163377,7.24,6.07,7.12,7.24,6.62,6.62,6.82
900361602,1014263356,TRACKING SOLUTIONS TSO,9101423704,26,8957123112215165133,7.82,6.75,7.65,7.00,5.82,5.82,6.81
900361602,1014263356,TRACKING SOLUTIONS TSO,9101142752,26,8957123112102786637,5.94,6.79,6.51,6.61,7.48,7.48,6.80
900361602,1014263356,TRACKING SOLUTIONS TSO,9101187689,26,8957123112215165331,4.69,7.97,8.23,7.07,6.34,6.34,6.77
900361602,1014263356,TRACKING SOLUTIONS TSO,9101439138,26,8957123112215164508,5.21,6.28,7.92,7.22,6.98,6.98,6.76
900361602,1014263356,TRACKING SOLUTIONS TSO,9101198319,26,8957123112215169390,7.84,7.17,8.53,8.07,4.45,4.45,6.75
900361602,1014263356,TRACKING SOLUTIONS TSO,9101184290,26,8957123311903277784,3.02,7.76,8.45,5.34,7.90,7.90,6.73
900361602,1014263356,TRACKING SOLUTIONS TSO,9101342721,26,8957123112215380591,0.71,5.19,11.88,9.21,6.68,6.68,6.73
900361602,1014263356,TRACKING SOLUTIONS TSO,9101164035,26,8957123411800053294,6.36,5.66,6.25,8.24,6.89,6.89,6.71
900361602,1014263356,TRACKING SOLUTIONS TSO,9101394191,26,8957123112215163310,4.53,6.07,8.66,7.79,6.49,6.49,6.67
900361602,1014263356,TRACKING SOLUTIONS TSO,9101278499,26,8957123112215382001,7.74,5.91,6.57,6.49,6.66,6.66,6.67
900361602,1014263356,TRACKING SOLUTIONS TSO,9101187869,26,8957123112215166008,2.23,8.14,8.04,6.88,7.24,7.24,6.63
900361602,1014263356,TRACKING SOLUTIONS TSO,9101289381,26,8957123112215383975,4.91,6.47,7.24,6.83,6.97,6.97,6.56
900361602,1014263356,TRACKING SOLUTIONS TSO,9101069341,26,8957123112115871699,8.47,6.28,8.31,8.38,3.97,3.97,6.56
900361602,1014263356,TRACKING SOLUTIONS TSO,9101058531,26,8957123112215164383,5.98,7.11,7.46,8.36,5.06,5.06,6.51
900361602,1014263356,TRACKING SOLUTIONS TSO,9101393639,26,8957123112215162734,8.12,7.23,8.78,5.17,4.81,4.81,6.49
900361602,1014263356,TRACKING SOLUTIONS TSO,9101188143,26,8957123111415884725,9.84,9.17,15.93,2.72,0.63,0.63,6.49
900361602,1014263356,TRACKING SOLUTIONS TSO,9101329898,26,8957123411800051058,8.56,6.22,5.33,6.10,6.35,6.35,6.49
900361602,1014263356,TRACKING SOLUTIONS TSO,9101161895,26,8957123112215165877,4.41,6.26,7.63,6.55,7.02,7.02,6.48
900361602,1014263356,TRACKING SOLUTIONS TSO,9101410094,26,8957123112215165224,5.31,5.75,7.09,6.34,7.20,7.20,6.48
900361602,1014263356,TRACKING SOLUTIONS TSO,9101388814,26,8957123112215383389,0.00,5.72,8.52,9.20,7.67,7.67,6.46
900361602,1014263356,TRACKING SOLUTIONS TSO,9101311300,26,8957123112215166875,6.31,7.23,7.83,5.81,5.78,5.78,6.46
900361602,1014263356,TRACKING SOLUTIONS TSO,9101172168,26,8957123112215340900,7.86,6.68,6.46,7.77,4.93,4.93,6.44
900361602,1014263356,TRACKING SOLUTIONS TSO,9101179725,26,8957123112215166503,6.98,6.25,6.50,6.20,6.32,6.32,6.43
900361602,1014263356,TRACKING SOLUTIONS TSO,9101398673,26,8957123112215340587,9.05,2.59,6.39,6.79,6.78,6.78,6.40
900361602,1014263356,TRACKING SOLUTIONS TSO,9101068124,26,8957123112215164391,4.05,7.32,7.54,6.64,6.40,6.40,6.39
900361602,1014263356,TRACKING SOLUTIONS TSO,9101173913,26,8957123112215164201,0.00,7.24,8.51,7.91,7.34,7.34,6.39
900361602,1014263356,TRACKING SOLUTIONS TSO,9101185750,26,8957123112215166420,2.61,2.40,15.69,7.62,4.74,4.74,6.30
900361602,1014263356,TRACKING SOLUTIONS TSO,9101189674,26,8957123112215165323,0.02,6.28,8.79,7.46,7.53,7.53,6.27
900361602,1014263356,TRACKING SOLUTIONS TSO,9101140818,26,8957123111901412445,6.34,7.01,6.71,5.58,5.93,5.93,6.25
900361602,1014263356,TRACKING SOLUTIONS TSO,9101346417,26,8957123112215383611,6.48,6.25,5.65,6.64,6.21,6.21,6.24
900361602,1014263356,TRACKING SOLUTIONS TSO,9101198300,26,8957123112215382720,0.76,2.08,8.41,7.03,9.56,9.56,6.23
900361602,1014263356,TRACKING SOLUTIONS TSO,9101328582,26,8957123112215162635,8.22,7.47,7.63,9.46,2.14,2.14,6.18
900361602,1014263356,TRACKING SOLUTIONS TSO,9101146942,26,8957123112215169317,5.02,7.18,7.90,7.09,4.87,4.87,6.15
900361602,1014263356,TRACKING SOLUTIONS TSO,9101328657,26,8957123112215162627,7.51,7.06,7.88,6.41,3.99,3.99,6.14
900361602,1014263356,TRACKING SOLUTIONS TSO,9101296617,26,8957123112215383355,0.00,5.63,8.35,8.14,7.33,7.33,6.13
900361602,1014263356,TRACKING SOLUTIONS TSO,9101141463,26,8957123112215169929,3.63,5.23,17.52,4.33,2.98,2.98,6.11
900361602,1014263356,TRACKING SOLUTIONS TSO,9101141737,26,8957123112215165604,3.70,6.42,7.33,7.63,5.70,5.70,6.08
900361602,1014263356,TRACKING SOLUTIONS TSO,9101150400,26,8957123411800053237,8.07,8.03,1.92,8.00,5.17,5.17,6.06
900361602,1014263356,TRACKING SOLUTIONS TSO,9101151432,26,8957123112102786355,4.69,4.69,13.97,4.31,4.34,4.34,6.06
900361602,1014263356,TRACKING SOLUTIONS TSO,9101318042,26,8957123112215382225,0.72,6.90,7.45,7.66,6.78,6.78,6.05
900361602,1014263356,TRACKING SOLUTIONS TSO,9101433512,26,8957123112215384130,6.25,5.61,7.65,7.09,4.82,4.82,6.04
900361602,1014263356,TRACKING SOLUTIONS TSO,9101174479,26,8957123110544024278,7.73,5.88,8.61,9.16,2.40,2.40,6.03
