DOCUMENTO,CUENTA,RAZON SOCIAL,LINEA,CICLO,SIMCARD,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,TOTAL
900361602,1014263356,TRACKING SOLUTIONS TSO,9101426921,26,8957123112215166354,11.91,8.09,30.95,54.23,48.55,48.55,33.71
900361602,1014263356,TRACKING SOLUTIONS TSO,9101140437,26,8957123112215165653,55.17,51.62,54.05,35.34,0.00,0.00,32.69
900361602,1014263356,TRACKING SOLUTIONS TSO,9101191443,26,8957123112215383793,1.79,1.63,15.62,60.47,57.12,57.12,32.29
900361602,1014263356,TRACKING SOLUTIONS TSO,9101330521,26,8957123112215165505,1.83,1.83,16.11,59.59,56.70,56.70,32.13
900361602,1014263356,TRACKING SOLUTIONS TSO,9101313382,26,8957123112215166859,1.83,1.62,15.77,60.21,56.67,56.67,32.13
900361602,1014263356,TRACKING SOLUTIONS TSO,9101330947,26,8957123112215383785,2.51,2.32,15.23,59.53,56.01,56.01,31.93
900361602,1014263356,TRACKING SOLUTIONS TSO,9101184360,26,8957123110529628689,28.52,24.88,24.94,21.46,22.62,22.62,24.17
900361602,1014263356,TRACKING SOLUTIONS TSO,9101441904,26,8957123112215169267,15.34,17.04,27.03,32.82,26.36,26.36,24.16
900361602,1014263356,TRACKING SOLUTIONS TSO,9101442842,26,8957123112215169283,21.96,20.84,20.29,22.91,20.71,20.71,21.24
900361602,1014263356,TRACKING SOLUTIONS TSO,9101307192,26,8957123112215383926,3.51,3.32,3.61,26.07,38.69,38.69,18.98
900361602,1014263356,TRACKING SOLUTIONS TSO,9101189726,26,8957123112215164623,12.27,12.80,18.48,25.03,21.65,21.65,18.65
900361602,1014263356,TRACKING SOLUTIONS TSO,9101405654,26,8957123112215165729,0.05,0.00,33.17,41.39,16.97,16.97,18.09
900361602,1014263356,TRACKING SOLUTIONS TSO,9101159849,26,8957123112215166073,16.85,17.74,18.39,16.98,17.65,17.65,17.54
900361602,1014263356,TRACKING SOLUTIONS TSO,9101156148,26,8957123112215163203,15.07,15.67,19.22,16.22,19.46,19.46,17.52
900361602,1014263356,TRACKING SOLUTIONS TSO,9101140640,26,8957123112215163351,17.74,19.99,16.81,18.63,14.93,14.93,17.17
900361602,1014263356,TRACKING SOLUTIONS TSO,9101196415,26,8957123112215163260,15.22,14.13,18.38,17.65,16.92,16.92,16.54
900361602,1014263356,TRACKING SOLUTIONS TSO,9101185715,26,8957123112215161967,17.44,31.98,26.05,5.48,8.54,8.54,16.34
900361602,1014263356,TRACKING SOLUTIONS TSO,9101193646,26,8957123112215168558,16.29,14.69,13.44,17.38,17.76,17.76,16.22
900361602,1014263356,TRACKING SOLUTIONS TSO,9101198022,26,8957123112215166966,2.53,2.34,29.47,56.77,0.37,0.37,15.31
900361602,1014263356,TRACKING SOLUTIONS TSO,9101053687,26,8957123112215164219,15.65,15.49,15.51,15.80,14.37,14.37,15.20
900361602,1014263356,TRACKING SOLUTIONS TSO,9101190927,26,8957123112215163187,14.90,14.15,18.61,13.56,13.17,13.17,14.59
900361602,1014263356,TRACKING SOLUTIONS TSO,9101183231,26,8957123112009138999,13.09,12.61,15.49,14.45,14.27,14.27,14.03
900361602,1014263356,TRACKING SOLUTIONS TSO,9101189757,26,8957123112215169325,33.66,40.96,7.52,0.00,0.00,0.00,13.69
900361602,1014263356,TRACKING SOLUTIONS TSO,9101324018,26,8957123112215166925,1.05,0.06,9.90,26.65,22.09,22.09,13.64
900361602,1014263356,TRACKING SOLUTIONS TSO,9101168131,26,8957123112215166800,13.62,13.85,14.49,12.14,13.43,13.43,13.49
