,Unit,Time
94706,GHP377,10/1/2024 12:00:00 AM
94707,GHP377,10/1/2024 12:01:32 AM
94708,GHP377,10/1/2024 4:26:16 AM
94709,GHP377,10/1/2024 8:51:05 AM
94710,GHP377,10/1/2024 1:17:22 PM
94711,GHP377,10/1/2024 5:42:27 PM
94712,GHP377,10/1/2024 10:06:40 PM
94713,GHP377,10/2/2024 2:31:21 AM
94714,GHP377,10/2/2024 6:56:08 AM
94715,GHP377,10/2/2024 7:34:04 AM
94716,GHP377,10/2/2024 7:35:28 AM
94717,GHP377,10/2/2024 7:35:38 AM
94718,GHP377,10/2/2024 7:36:02 AM
94719,GHP377,10/2/2024 7:36:34 AM
94720,GHP377,10/2/2024 7:37:10 AM
94721,GHP377,10/2/2024 7:38:44 AM
94722,GHP377,10/2/2024 7:40:44 AM
94723,GHP377,10/2/2024 7:41:50 AM
94724,GHP377,10/2/2024 7:42:21 AM
94725,GHP377,10/2/2024 7:44:20 AM
94726,GHP377,10/2/2024 7:46:20 AM
94727,GHP377,10/2/2024 7:46:25 AM
94728,GHP377,10/2/2024 7:47:44 AM
94729,GHP377,10/2/2024 7:49:11 AM
94730,GHP377,10/2/2024 7:49:11 AM
94731,GHP377,10/2/2024 7:49:36 AM
94732,GHP377,10/2/2024 7:49:36 AM
94733,GHP377,10/2/2024 7:51:33 AM
94734,GHP377,10/2/2024 7:53:33 AM
94735,GHP377,10/2/2024 7:53:41 AM
94736,GHP377,10/2/2024 7:53:54 AM
94737,GHP377,10/2/2024 7:54:14 AM
94738,GHP377,10/2/2024 7:54:14 AM
94739,GHP377,10/2/2024 7:54:48 AM
94740,GHP377,10/2/2024 7:54:48 AM
94741,GHP377,10/2/2024 7:55:00 AM
94742,GHP377,10/2/2024 7:56:06 AM
94743,GHP377,10/2/2024 7:57:29 AM
94744,GHP377,10/2/2024 7:58:00 AM
94745,GHP377,10/2/2024 7:58:08 AM
94746,GHP377,10/2/2024 8:12:53 AM
94747,GHP377,10/2/2024 12:13:50 PM
94748,GHP377,10/2/2024 12:45:10 PM
94749,GHP377,10/2/2024 12:46:07 PM
94750,GHP377,10/2/2024 12:47:02 PM
94751,GHP377,10/2/2024 12:47:02 PM
94752,GHP377,10/2/2024 12:47:38 PM
94753,GHP377,10/2/2024 12:48:07 PM
94754,GHP377,10/2/2024 12:48:07 PM
94755,GHP377,10/2/2024 12:48:13 PM
94756,GHP377,10/2/2024 12:48:13 PM
94757,GHP377,10/2/2024 12:48:21 PM
94758,GHP377,10/2/2024 12:48:21 PM
94759,GHP377,10/2/2024 12:48:32 PM
94760,GHP377,10/2/2024 12:49:03 PM
94761,GHP377,10/2/2024 12:49:03 PM
94762,GHP377,10/2/2024 12:49:05 PM
94763,GHP377,10/2/2024 12:49:22 PM
94764,GHP377,10/2/2024 12:49:34 PM
94765,GHP377,10/2/2024 12:50:15 PM
94766,GHP377,10/2/2024 12:51:14 PM
94767,GHP377,10/2/2024 12:52:03 PM
94768,GHP377,10/2/2024 12:52:31 PM
94769,GHP377,10/2/2024 12:52:47 PM
94770,GHP377,10/2/2024 12:53:16 PM
94771,GHP377,10/2/2024 12:53:52 PM
94772,GHP377,10/2/2024 12:55:51 PM
94773,GHP377,10/2/2024 12:56:02 PM
94774,GHP377,10/2/2024 12:56:44 PM
94775,GHP377,10/2/2024 12:57:08 PM
94776,GHP377,10/2/2024 1:12:01 PM
94777,GHP377,10/2/2024 1:47:01 PM
94778,GHP377,10/2/2024 1:47:40 PM
94779,GHP377,10/2/2024 1:48:14 PM
94780,GHP377,10/2/2024 1:49:16 PM
94781,GHP377,10/2/2024 1:50:32 PM
94782,GHP377,10/2/2024 1:51:41 PM
94783,GHP377,10/2/2024 1:52:36 PM
94784,GHP377,10/2/2024 1:53:25 PM
94785,GHP377,10/2/2024 1:53:32 PM
94786,GHP377,10/2/2024 1:53:41 PM
94787,GHP377,10/2/2024 1:53:58 PM
94788,GHP377,10/2/2024 1:54:01 PM
94789,GHP377,10/2/2024 1:54:20 PM
94790,GHP377,10/2/2024 1:55:38 PM
94791,GHP377,10/2/2024 1:55:38 PM
94792,GHP377,10/2/2024 1:55:53 PM
94793,GHP377,10/2/2024 1:55:53 PM
94794,GHP377,10/2/2024 1:56:18 PM
94795,GHP377,10/2/2024 1:56:18 PM
94796,GHP377,10/2/2024 1:56:29 PM
94797,GHP377,10/2/2024 1:56:29 PM
94798,GHP377,10/2/2024 1:57:56 PM
94799,GHP377,10/2/2024 1:57:56 PM
94800,GHP377,10/2/2024 1:58:32 PM
94801,GHP377,10/2/2024 2:13:24 PM
94802,GHP377,10/2/2024 6:23:31 PM
94803,GHP377,10/2/2024 7:06:33 PM
94804,GHP377,10/2/2024 7:07:05 PM
94805,GHP377,10/2/2024 7:07:35 PM
94806,GHP377,10/2/2024 7:08:07 PM
94807,GHP377,10/2/2024 7:08:10 PM
94808,GHP377,10/2/2024 7:08:19 PM
94809,GHP377,10/2/2024 7:08:56 PM
94810,GHP377,10/2/2024 7:08:56 PM
94811,GHP377,10/2/2024 7:09:08 PM
94812,GHP377,10/2/2024 7:09:21 PM
94813,GHP377,10/2/2024 7:09:33 PM
94814,GHP377,10/2/2024 7:11:32 PM
94815,GHP377,10/2/2024 7:11:40 PM
94816,GHP377,10/2/2024 7:13:23 PM
94817,GHP377,10/2/2024 7:13:50 PM
94818,GHP377,10/2/2024 7:15:48 PM
94819,GHP377,10/2/2024 7:16:08 PM
94820,GHP377,10/2/2024 7:17:37 PM
94821,GHP377,10/2/2024 7:18:19 PM
94822,GHP377,10/2/2024 7:20:19 PM
94823,GHP377,10/2/2024 7:22:18 PM
94824,GHP377,10/2/2024 7:23:44 PM
94825,GHP377,10/2/2024 7:23:53 PM
94826,GHP377,10/2/2024 7:25:51 PM
94827,GHP377,10/2/2024 7:27:51 PM
94828,GHP377,10/2/2024 7:28:25 PM
94829,GHP377,10/2/2024 7:28:51 PM
94830,GHP377,10/2/2024 7:29:17 PM
94831,GHP377,10/2/2024 7:29:33 PM
94832,GHP377,10/2/2024 7:44:27 PM
94833,GHP377,10/2/2024 11:53:36 PM
94834,GHP377,10/3/2024 4:08:46 AM
94835,GHP377,10/3/2024 7:32:21 AM
94836,GHP377,10/3/2024 7:34:08 AM
94837,GHP377,10/3/2024 7:34:22 AM
94838,GHP377,10/3/2024 7:34:45 AM
94839,GHP377,10/3/2024 7:35:16 AM
94840,GHP377,10/3/2024 7:35:28 AM
94841,GHP377,10/3/2024 7:35:56 AM
94842,GHP377,10/3/2024 7:36:09 AM
94843,GHP377,10/3/2024 7:38:08 AM
94844,GHP377,10/3/2024 7:38:38 AM
94845,GHP377,10/3/2024 7:43:37 AM
94846,GHP377,10/3/2024 8:09:45 AM
94847,GHP377,10/3/2024 8:11:06 AM
94848,GHP377,10/3/2024 8:11:20 AM
94849,GHP377,10/3/2024 8:12:29 AM
94850,GHP377,10/3/2024 8:12:55 AM
94851,GHP377,10/3/2024 8:14:33 AM
94852,GHP377,10/3/2024 8:14:47 AM
94853,GHP377,10/3/2024 8:15:35 AM
94854,GHP377,10/3/2024 8:15:35 AM
94855,GHP377,10/3/2024 8:15:57 AM
94856,GHP377,10/3/2024 8:15:57 AM
94857,GHP377,10/3/2024 8:17:54 AM
94858,GHP377,10/3/2024 8:18:02 AM
94859,GHP377,10/3/2024 8:18:15 AM
94860,GHP377,10/3/2024 8:18:29 AM
94861,GHP377,10/3/2024 8:18:44 AM
94862,GHP377,10/3/2024 8:18:44 AM
94863,GHP377,10/3/2024 8:19:22 AM
94864,GHP377,10/3/2024 8:19:34 AM
94865,GHP377,10/3/2024 8:19:34 AM
94866,GHP377,10/3/2024 8:20:54 AM
94867,GHP377,10/3/2024 8:21:22 AM
94868,GHP377,10/3/2024 8:21:45 AM
94869,GHP377,10/3/2024 8:36:38 AM
94870,GHP377,10/3/2024 12:31:03 PM
94871,GHP377,10/3/2024 12:34:02 PM
94872,GHP377,10/3/2024 12:34:02 PM
94873,GHP377,10/3/2024 12:34:33 PM
94874,GHP377,10/3/2024 12:34:33 PM
94875,GHP377,10/3/2024 12:34:50 PM
94876,GHP377,10/3/2024 12:34:50 PM
94877,GHP377,10/3/2024 12:34:57 PM
94878,GHP377,10/3/2024 12:35:05 PM
94879,GHP377,10/3/2024 12:35:05 PM
94880,GHP377,10/3/2024 12:35:25 PM
94881,GHP377,10/3/2024 12:35:52 PM
94882,GHP377,10/3/2024 12:35:52 PM
94883,GHP377,10/3/2024 12:35:56 PM
94884,GHP377,10/3/2024 12:36:11 PM
94885,GHP377,10/3/2024 12:36:29 PM
94886,GHP377,10/3/2024 12:37:02 PM
94887,GHP377,10/3/2024 12:38:06 PM
94888,GHP377,10/3/2024 12:38:53 PM
94889,GHP377,10/3/2024 12:39:16 PM
94890,GHP377,10/3/2024 12:40:19 PM
94891,GHP377,10/3/2024 12:40:54 PM
94892,GHP377,10/3/2024 12:42:36 PM
94893,GHP377,10/3/2024 12:42:40 PM
94894,GHP377,10/3/2024 12:43:41 PM
94895,GHP377,10/3/2024 12:44:01 PM
94896,GHP377,10/3/2024 12:44:32 PM
94897,GHP377,10/3/2024 12:59:24 PM
94898,GHP377,10/3/2024 1:49:26 PM
94899,GHP377,10/3/2024 1:50:14 PM
94900,GHP377,10/3/2024 1:50:36 PM
94901,GHP377,10/3/2024 1:51:38 PM
94902,GHP377,10/3/2024 1:54:08 PM
94903,GHP377,10/3/2024 1:54:57 PM
94904,GHP377,10/3/2024 1:55:53 PM
94905,GHP377,10/3/2024 1:56:13 PM
94906,GHP377,10/3/2024 1:56:31 PM
94907,GHP377,10/3/2024 1:56:34 PM
94908,GHP377,10/3/2024 1:56:45 PM
94909,GHP377,10/3/2024 1:56:50 PM
94910,GHP377,10/3/2024 1:58:10 PM
94911,GHP377,10/3/2024 1:58:10 PM
94912,GHP377,10/3/2024 1:59:10 PM
94913,GHP377,10/3/2024 1:59:10 PM
94914,GHP377,10/3/2024 1:59:23 PM
94915,GHP377,10/3/2024 1:59:23 PM
94916,GHP377,10/3/2024 1:59:48 PM
94917,GHP377,10/3/2024 2:00:18 PM
94918,GHP377,10/3/2024 2:00:49 PM
94919,GHP377,10/3/2024 2:00:56 PM
94920,GHP377,10/3/2024 2:15:42 PM
94921,GHP377,10/3/2024 6:25:41 PM
94922,GHP377,10/3/2024 6:38:47 PM
94923,GHP377,10/3/2024 6:39:27 PM
94924,GHP377,10/3/2024 6:40:15 PM
94925,GHP377,10/3/2024 6:41:07 PM
94926,GHP377,10/3/2024 6:41:11 PM
94927,GHP377,10/3/2024 6:41:29 PM
94928,GHP377,10/3/2024 6:42:32 PM
94929,GHP377,10/3/2024 6:42:32 PM
94930,GHP377,10/3/2024 6:42:44 PM
94931,GHP377,10/3/2024 6:43:03 PM
94932,GHP377,10/3/2024 6:43:16 PM
94933,GHP377,10/3/2024 6:45:15 PM
94934,GHP377,10/3/2024 6:47:14 PM
94935,GHP377,10/3/2024 6:48:02 PM
94936,GHP377,10/3/2024 6:48:38 PM
94937,GHP377,10/3/2024 6:50:35 PM
94938,GHP377,10/3/2024 6:50:53 PM
94939,GHP377,10/3/2024 6:51:56 PM
94940,GHP377,10/3/2024 6:52:03 PM
94941,GHP377,10/3/2024 6:54:02 PM
94942,GHP377,10/3/2024 6:56:02 PM
