,Unit,Time
86812,GHO967,10/1/2024 12:00:00 AM
86813,GHO967,10/1/2024 12:44:20 AM
86814,GHO967,10/1/2024 5:08:58 AM
86815,GHO967,10/1/2024 8:08:14 AM
86816,GHO967,10/1/2024 8:09:55 AM
86817,GHO967,10/1/2024 8:10:11 AM
86818,GHO967,10/1/2024 8:12:07 AM
86819,GHO967,10/1/2024 8:14:02 AM
86820,GHO967,10/1/2024 8:16:02 AM
86821,GHO967,10/1/2024 8:17:33 AM
86822,GHO967,10/1/2024 8:19:32 AM
86823,GHO967,10/1/2024 8:20:11 AM
86824,GHO967,10/1/2024 8:20:42 AM
86825,GHO967,10/1/2024 8:20:57 AM
86826,GHO967,10/1/2024 8:21:16 AM
86827,GHO967,10/1/2024 8:22:19 AM
86828,GHO967,10/1/2024 8:22:29 AM
86829,GHO967,10/1/2024 8:22:48 AM
86830,GHO967,10/1/2024 8:24:47 AM
86831,GHO967,10/1/2024 8:25:54 AM
86832,GHO967,10/1/2024 8:26:10 AM
86833,GHO967,10/1/2024 8:34:03 AM
86834,GHO967,10/1/2024 8:39:01 AM
86835,GHO967,10/1/2024 8:43:20 AM
86836,GHO967,10/1/2024 8:43:23 AM
86837,GHO967,10/1/2024 8:43:52 AM
86838,GHO967,10/1/2024 8:44:40 AM
86839,GHO967,10/1/2024 8:44:49 AM
86840,GHO967,10/1/2024 8:52:18 AM
86841,GHO967,10/1/2024 8:52:33 AM
86842,GHO967,10/1/2024 8:53:55 AM
86843,GHO967,10/1/2024 8:54:23 AM
86844,GHO967,10/1/2024 8:54:43 AM
86845,GHO967,10/1/2024 8:55:15 AM
86846,GHO967,10/1/2024 9:00:14 AM
86847,GHO967,10/1/2024 9:04:12 AM
86848,GHO967,10/1/2024 9:19:08 AM
86849,GHO967,10/1/2024 9:21:50 AM
86850,GHO967,10/1/2024 9:23:00 AM
86851,GHO967,10/1/2024 9:23:28 AM
86852,GHO967,10/1/2024 9:24:09 AM
86853,GHO967,10/1/2024 9:24:43 AM
86854,GHO967,10/1/2024 9:26:29 AM
86855,GHO967,10/1/2024 9:26:33 AM
86856,GHO967,10/1/2024 9:27:45 AM
86857,GHO967,10/1/2024 9:27:54 AM
86858,GHO967,10/1/2024 9:28:10 AM
86859,GHO967,10/1/2024 9:28:22 AM
86860,GHO967,10/1/2024 9:29:54 AM
86861,GHO967,10/1/2024 9:30:01 AM
86862,GHO967,10/1/2024 9:30:08 AM
86863,GHO967,10/1/2024 9:30:32 AM
86864,GHO967,10/1/2024 9:31:44 AM
86865,GHO967,10/1/2024 9:32:08 AM
86866,GHO967,10/1/2024 9:34:08 AM
86867,GHO967,10/1/2024 9:34:44 AM
86868,GHO967,10/1/2024 9:35:33 AM
86869,GHO967,10/1/2024 9:37:33 AM
86870,GHO967,10/1/2024 9:37:46 AM
86871,GHO967,10/1/2024 9:38:15 AM
86872,GHO967,10/1/2024 9:38:35 AM
86873,GHO967,10/1/2024 9:38:44 AM
86874,GHO967,10/1/2024 9:53:31 AM
86875,GHO967,10/1/2024 11:16:21 AM
86876,GHO967,10/1/2024 11:17:41 AM
86877,GHO967,10/1/2024 11:17:57 AM
86878,GHO967,10/1/2024 11:20:07 AM
86879,GHO967,10/1/2024 11:25:01 AM
86880,GHO967,10/1/2024 11:27:00 AM
86881,GHO967,10/1/2024 11:27:23 AM
86882,GHO967,10/1/2024 11:28:04 AM
86883,GHO967,10/1/2024 11:30:03 AM
86884,GHO967,10/1/2024 11:31:29 AM
86885,GHO967,10/1/2024 11:36:27 AM
86886,GHO967,10/1/2024 11:40:27 AM
86887,GHO967,10/1/2024 11:40:35 AM
86888,GHO967,10/1/2024 11:40:39 AM
86889,GHO967,10/1/2024 11:40:47 AM
86890,GHO967,10/1/2024 11:40:51 AM
86891,GHO967,10/1/2024 11:41:46 AM
86892,GHO967,10/1/2024 11:43:15 AM
86893,GHO967,10/1/2024 11:44:37 AM
86894,GHO967,10/1/2024 11:44:37 AM
86895,GHO967,10/1/2024 11:46:36 AM
86896,GHO967,10/1/2024 11:46:36 AM
86897,GHO967,10/1/2024 11:47:22 AM
86898,GHO967,10/1/2024 11:47:32 AM
86899,GHO967,10/1/2024 11:49:31 AM
86900,GHO967,10/1/2024 11:51:31 AM
86901,GHO967,10/1/2024 11:53:30 AM
86902,GHO967,10/1/2024 11:55:30 AM
86903,GHO967,10/1/2024 11:57:29 AM
86904,GHO967,10/1/2024 11:57:35 AM
86905,GHO967,10/1/2024 11:58:38 AM
86906,GHO967,10/1/2024 11:58:48 AM
86907,GHO967,10/1/2024 11:59:08 AM
86908,GHO967,10/1/2024 11:59:53 AM
86909,GHO967,10/1/2024 12:00:35 PM
86910,GHO967,10/1/2024 12:01:26 PM
86911,GHO967,10/1/2024 12:03:26 PM
86912,GHO967,10/1/2024 12:04:41 PM
86913,GHO967,10/1/2024 12:05:06 PM
86914,GHO967,10/1/2024 12:07:05 PM
86915,GHO967,10/1/2024 12:07:08 PM
86916,GHO967,10/1/2024 12:08:01 PM
86917,GHO967,10/1/2024 12:08:15 PM
86918,GHO967,10/1/2024 12:08:15 PM
86919,GHO967,10/1/2024 12:09:11 PM
86920,GHO967,10/1/2024 12:11:10 PM
86921,GHO967,10/1/2024 12:11:10 PM
86922,GHO967,10/1/2024 12:13:10 PM
86923,GHO967,10/1/2024 12:15:09 PM
86924,GHO967,10/1/2024 12:17:09 PM
86925,GHO967,10/1/2024 12:18:36 PM
86926,GHO967,10/1/2024 12:21:12 PM
86927,GHO967,10/1/2024 12:23:03 PM
86928,GHO967,10/1/2024 12:23:47 PM
86929,GHO967,10/1/2024 12:23:56 PM
86930,GHO967,10/1/2024 12:24:26 PM
86931,GHO967,10/1/2024 12:24:38 PM
86932,GHO967,10/1/2024 12:25:19 PM
86933,GHO967,10/1/2024 12:25:35 PM
86934,GHO967,10/1/2024 12:25:44 PM
86935,GHO967,10/1/2024 12:27:01 PM
86936,GHO967,10/1/2024 12:29:00 PM
86937,GHO967,10/1/2024 12:30:01 PM
86938,GHO967,10/1/2024 12:35:00 PM
86939,GHO967,10/1/2024 12:40:38 PM
86940,GHO967,10/1/2024 12:41:28 PM
86941,GHO967,10/1/2024 12:41:45 PM
86942,GHO967,10/1/2024 12:42:17 PM
86943,GHO967,10/1/2024 12:42:22 PM
86944,GHO967,10/1/2024 12:43:04 PM
86945,GHO967,10/1/2024 12:43:58 PM
86946,GHO967,10/1/2024 12:45:22 PM
86947,GHO967,10/1/2024 12:46:26 PM
86948,GHO967,10/1/2024 12:46:58 PM
86949,GHO967,10/1/2024 12:48:04 PM
86950,GHO967,10/1/2024 12:49:46 PM
86951,GHO967,10/1/2024 12:51:45 PM
86952,GHO967,10/1/2024 12:53:45 PM
86953,GHO967,10/1/2024 12:55:45 PM
86954,GHO967,10/1/2024 12:57:31 PM
86955,GHO967,10/1/2024 12:57:55 PM
86956,GHO967,10/1/2024 12:58:05 PM
86957,GHO967,10/1/2024 12:58:35 PM
86958,GHO967,10/1/2024 1:00:35 PM
86959,GHO967,10/1/2024 1:02:15 PM
86960,GHO967,10/1/2024 1:04:14 PM
86961,GHO967,10/1/2024 1:04:50 PM
86962,GHO967,10/1/2024 1:06:48 PM
86963,GHO967,10/1/2024 1:08:00 PM
86964,GHO967,10/1/2024 1:08:00 PM
86965,GHO967,10/1/2024 1:09:59 PM
86966,GHO967,10/1/2024 1:11:59 PM
86967,GHO967,10/1/2024 1:11:59 PM
86968,GHO967,10/1/2024 1:13:58 PM
86969,GHO967,10/1/2024 1:14:31 PM
86970,GHO967,10/1/2024 1:14:47 PM
86971,GHO967,10/1/2024 1:16:47 PM
86972,GHO967,10/1/2024 1:17:53 PM
