Sim Number,count
8951101632863460000,4
5710150210,4
5710150250,3
57101502101,3
8951101639495748195,2
8951101630733494361,2
8951101630733494999,2
89571016023083315281,2
8934072400008557586,2
8951101639654937704,2
895712311,2
8957123112211414949,2
8934076700123356137,2
8951101630733547853,2
8957123312309015802,2
89571016023121575946,2
8951101632870695008,2
895110163090361075,2
895110163060142580,2
8951101630842402859,2
8951101632870695032,2
8951067022219913050,2
89511016,2
8951101632045962143,2
8951101632863468108,2
333333333333,2
8951101630601427287,2
57101502308,2
895712311221,2
8957123110,2
571015,2
8957123312309015430,2
5710110,2
8957123,2
5710150,2
8957123112,2
0000,2
8934071400005523939,2
0,2
8934076200000578234,1
8934076200000601010,1
8934076200000601028,1
8934076200012929763,1
8934076200002526769,1
8934075200004650261,1
8934075200004650659,1
8934076400014744067,1
0HW6,1
8934076200002539721,1
8934075200004651533,1
8934076500006276208,1
8934071200001024969,1
8934076200000589959,1
8934076200002528567,1
8934071200001025305,1
00000000,1
8934071200001025180,1
8934076200002527429,1
8934071200000948846,1
8934071200000969867,1
8934076200004336290,1
8934071200001476896,1
8934071200000951782,1
8934071200001476599,1
8934071200001476607,1
8934076200002521372,1
8934076200002527841,1
8934071200001282203,1
8934071200001272337,1
8934071200001272360,1
8934071500004915612,1
8934071400007067703,1
8934076500006276166,1
8934071400007069758,1
8934071400005523921,1
8952020524110557369,1
8934071200002855221,1
8934071200001588864,1
8934076200004338411,1
8934071200002855296,1
8934071200002855338,1
8934076200004339617,1
8934076200005016651,1
8934076200002540026,1
8934071200003847359,1
8934076200007154971,1
8934076200005018202,1
8934071200003853837,1
8934071200004321875,1
8934076200005921991,1
8934076200008196401,1
8934076200007176636,1
8934076200007154773,1
8934071500004915653,1
8934071400007190620,1
8934071400007069691,1
8934071400007069725,1
8934072400006875394,1
8934072400006950163,1
8934076500006276240,1
8934076500006276224,1
8934071400007065970,1
8934071500006042423,1
8952020312541359419,1
8934076200005921975,1
8934071200000905432,1
8952020613541562740,1
8952020314540785701,1
8934076200000601143,1
8952020012240030432,1
8952020313540761621,1
8952020313540761340,1
8952020313540761639,1
8952020613441551025,1
8952020514640339636,1
8952020514640339651,1
8952020514640339586,1
8952020914641026655,1
