,Unit,Time
465534,WOM052,10/1/2024 12:00:00 AM
465535,WOM052,10/1/2024 3:47:56 AM
465536,WOM052,10/1/2024 7:42:04 AM
465537,WOM052,10/1/2024 7:42:04 AM
465538,WOM052,10/1/2024 7:46:13 AM
465539,WOM052,10/1/2024 7:46:13 AM
465540,WOM052,10/1/2024 8:09:34 AM
465541,WOM052,10/1/2024 8:09:34 AM
465542,WOM052,10/1/2024 8:17:58 AM
465543,WOM052,10/1/2024 8:19:17 AM
465544,WOM052,10/1/2024 8:19:21 AM
465545,WOM052,10/1/2024 8:23:10 AM
465546,WOM052,10/1/2024 8:23:10 AM
465547,WOM052,10/1/2024 8:25:00 AM
465548,WOM052,10/1/2024 8:25:00 AM
465549,WOM052,10/1/2024 8:25:00 AM
465550,WOM052,10/1/2024 8:25:36 AM
465551,WOM052,10/1/2024 8:27:35 AM
465552,WOM052,10/1/2024 8:28:31 AM
465553,WOM052,10/1/2024 8:30:30 AM
465554,WOM052,10/1/2024 8:32:30 AM
465555,WOM052,10/1/2024 8:34:30 AM
465556,WOM052,10/1/2024 8:36:24 AM
465557,WOM052,10/1/2024 8:37:10 AM
465558,WOM052,10/1/2024 8:37:10 AM
465559,WOM052,10/1/2024 8:38:36 AM
465560,WOM052,10/1/2024 8:38:36 AM
465561,WOM052,10/1/2024 8:39:16 AM
465562,WOM052,10/1/2024 8:39:16 AM
465563,WOM052,10/1/2024 8:41:15 AM
465564,WOM052,10/1/2024 8:43:15 AM
465565,WOM052,10/1/2024 8:43:15 AM
465566,WOM052,10/1/2024 8:45:29 AM
465567,WOM052,10/1/2024 8:46:12 AM
465568,WOM052,10/1/2024 8:47:23 AM
465569,WOM052,10/1/2024 8:48:17 AM
465570,WOM052,10/1/2024 8:49:23 AM
465571,WOM052,10/1/2024 8:49:46 AM
465572,WOM052,10/1/2024 8:51:03 AM
465573,WOM052,10/1/2024 8:52:02 AM
465574,WOM052,10/1/2024 8:54:02 AM
465575,WOM052,10/1/2024 8:55:09 AM
465576,WOM052,10/1/2024 8:57:17 AM
465577,WOM052,10/1/2024 8:57:39 AM
465578,WOM052,10/1/2024 8:59:46 AM
465579,WOM052,10/1/2024 9:01:04 AM
465580,WOM052,10/1/2024 9:01:24 AM
465581,WOM052,10/1/2024 9:01:45 AM
465582,WOM052,10/1/2024 9:03:15 AM
465583,WOM052,10/1/2024 9:04:09 AM
465584,WOM052,10/1/2024 9:04:55 AM
465585,WOM052,10/1/2024 9:06:07 AM
465586,WOM052,10/1/2024 9:07:07 AM
465587,WOM052,10/1/2024 9:07:44 AM
465588,WOM052,10/1/2024 9:08:44 AM
465589,WOM052,10/1/2024 9:09:25 AM
465590,WOM052,10/1/2024 9:11:24 AM
465591,WOM052,10/1/2024 9:13:01 AM
465592,WOM052,10/1/2024 9:13:53 AM
465593,WOM052,10/1/2024 9:15:11 AM
465594,WOM052,10/1/2024 9:17:45 AM
465595,WOM052,10/1/2024 9:18:49 AM
465596,WOM052,10/1/2024 9:19:30 AM
465597,WOM052,10/1/2024 9:20:18 AM
465598,WOM052,10/1/2024 9:21:01 AM
465599,WOM052,10/1/2024 9:23:01 AM
465600,WOM052,10/1/2024 9:25:01 AM
465601,WOM052,10/1/2024 9:27:31 AM
465602,WOM052,10/1/2024 9:27:53 AM
465603,WOM052,10/1/2024 9:28:37 AM
465604,WOM052,10/1/2024 9:30:00 AM
465605,WOM052,10/1/2024 9:30:30 AM
465606,WOM052,10/1/2024 9:32:57 AM
465607,WOM052,10/1/2024 9:34:06 AM
465608,WOM052,10/1/2024 9:39:05 AM
465609,WOM052,10/1/2024 9:44:13 AM
465610,WOM052,10/1/2024 9:44:42 AM
465611,WOM052,10/1/2024 9:46:05 AM
465612,WOM052,10/1/2024 9:46:32 AM
465613,WOM052,10/1/2024 9:49:08 AM
465614,WOM052,10/1/2024 9:51:08 AM
465615,WOM052,10/1/2024 9:51:49 AM
465616,WOM052,10/1/2024 9:56:48 AM
465617,WOM052,10/1/2024 10:16:05 AM
465618,WOM052,10/1/2024 10:18:05 AM
465619,WOM052,10/1/2024 10:18:27 AM
465620,WOM052,10/1/2024 10:19:00 AM
465621,WOM052,10/1/2024 10:20:17 AM
465622,WOM052,10/1/2024 10:20:56 AM
465623,WOM052,10/1/2024 10:22:55 AM
465624,WOM052,10/1/2024 10:23:37 AM
465625,WOM052,10/1/2024 10:24:00 AM
465626,WOM052,10/1/2024 10:26:00 AM
465627,WOM052,10/1/2024 10:26:30 AM
465628,WOM052,10/1/2024 10:27:05 AM
465629,WOM052,10/1/2024 10:29:05 AM
465630,WOM052,10/1/2024 10:29:05 AM
465631,WOM052,10/1/2024 10:29:57 AM
465632,WOM052,10/1/2024 10:30:20 AM
465633,WOM052,10/1/2024 10:31:39 AM
465634,WOM052,10/1/2024 10:31:59 AM
465635,WOM052,10/1/2024 10:33:53 AM
465636,WOM052,10/1/2024 10:33:53 AM
465637,WOM052,10/1/2024 10:35:10 AM
465638,WOM052,10/1/2024 10:35:10 AM
465639,WOM052,10/1/2024 10:40:59 AM
465640,WOM052,10/1/2024 10:42:12 AM
465641,WOM052,10/1/2024 10:42:12 AM
465642,WOM052,10/1/2024 10:42:49 AM
465643,WOM052,10/1/2024 10:45:07 AM
465644,WOM052,10/1/2024 10:47:07 AM
465645,WOM052,10/1/2024 10:49:07 AM
465646,WOM052,10/1/2024 10:51:06 AM
465647,WOM052,10/1/2024 10:51:06 AM
465648,WOM052,10/1/2024 10:51:59 AM
465649,WOM052,10/1/2024 10:51:59 AM
465650,WOM052,10/1/2024 10:53:58 AM
465651,WOM052,10/1/2024 10:55:57 AM
465652,WOM052,10/1/2024 10:57:57 AM
465653,WOM052,10/1/2024 10:59:37 AM
465654,WOM052,10/1/2024 11:04:36 AM
465655,WOM052,10/1/2024 11:10:40 AM
465656,WOM052,10/1/2024 11:10:45 AM
465657,WOM052,10/1/2024 11:11:40 AM
465658,WOM052,10/1/2024 11:12:38 AM
465659,WOM052,10/1/2024 11:14:38 AM
465660,WOM052,10/1/2024 11:16:38 AM
465661,WOM052,10/1/2024 11:18:37 AM
465662,WOM052,10/1/2024 11:20:06 AM
465663,WOM052,10/1/2024 11:20:06 AM
465664,WOM052,10/1/2024 11:21:52 AM
465665,WOM052,10/1/2024 11:21:52 AM
465666,WOM052,10/1/2024 11:23:19 AM
465667,WOM052,10/1/2024 11:25:18 AM
465668,WOM052,10/1/2024 11:25:39 AM
465669,WOM052,10/1/2024 11:26:01 AM
465670,WOM052,10/1/2024 11:28:00 AM
465671,WOM052,10/1/2024 11:32:14 AM
465672,WOM052,10/1/2024 11:32:37 AM
465673,WOM052,10/1/2024 11:33:11 AM
465674,WOM052,10/1/2024 11:34:02 AM
465675,WOM052,10/1/2024 11:34:58 AM
465676,WOM052,10/1/2024 11:35:30 AM
465677,WOM052,10/1/2024 11:36:38 AM
465678,WOM052,10/1/2024 11:36:42 AM
465679,WOM052,10/1/2024 11:36:47 AM
465680,WOM052,10/1/2024 11:38:13 AM
465681,WOM052,10/1/2024 11:38:48 AM
465682,WOM052,10/1/2024 11:39:42 AM
465683,WOM052,10/1/2024 11:42:34 AM
465684,WOM052,10/1/2024 11:43:02 AM
465685,WOM052,10/1/2024 11:46:39 AM
465686,WOM052,10/1/2024 11:48:39 AM
465687,WOM052,10/1/2024 11:49:45 AM
465688,WOM052,10/1/2024 11:50:36 AM
465689,WOM052,10/1/2024 11:51:20 AM
465690,WOM052,10/1/2024 11:52:46 AM
465691,WOM052,10/1/2024 11:54:49 AM
465692,WOM052,10/1/2024 11:58:05 AM
465693,WOM052,10/1/2024 11:59:57 AM
465694,WOM052,10/1/2024 12:00:26 PM
465695,WOM052,10/1/2024 12:02:09 PM
465696,WOM052,10/1/2024 12:02:37 PM
465697,WOM052,10/1/2024 12:03:02 PM
465698,WOM052,10/1/2024 12:03:50 PM
465699,WOM052,10/1/2024 12:06:01 PM
465700,WOM052,10/1/2024 12:08:07 PM
465701,WOM052,10/1/2024 12:08:40 PM
465702,WOM052,10/1/2024 12:08:49 PM
465703,WOM052,10/1/2024 12:09:06 PM
465704,WOM052,10/1/2024 12:09:59 PM
465705,WOM052,10/1/2024 12:10:32 PM
465706,WOM052,10/1/2024 12:11:04 PM
465707,WOM052,10/1/2024 12:11:13 PM
465708,WOM052,10/1/2024 12:11:47 PM
465709,WOM052,10/1/2024 12:15:09 PM
465710,WOM052,10/1/2024 12:16:52 PM
465711,WOM052,10/1/2024 12:17:20 PM
465712,WOM052,10/1/2024 12:18:04 PM
465713,WOM052,10/1/2024 12:18:32 PM
465714,WOM052,10/1/2024 12:20:31 PM
465715,WOM052,10/1/2024 12:22:31 PM
465716,WOM052,10/1/2024 12:23:53 PM
465717,WOM052,10/1/2024 12:23:58 PM
465718,WOM052,10/1/2024 12:25:56 PM
465719,WOM052,10/1/2024 12:27:56 PM
465720,WOM052,10/1/2024 12:29:19 PM
465721,WOM052,10/1/2024 12:29:59 PM
465722,WOM052,10/1/2024 12:30:20 PM
465723,WOM052,10/1/2024 12:30:57 PM
465724,WOM052,10/1/2024 12:32:56 PM
465725,WOM052,10/1/2024 12:33:49 PM
465726,WOM052,10/1/2024 12:34:05 PM
465727,WOM052,10/1/2024 12:34:42 PM
465728,WOM052,10/1/2024 12:36:18 PM
465729,WOM052,10/1/2024 12:37:54 PM
465730,WOM052,10/1/2024 12:38:24 PM
465731,WOM052,10/1/2024 12:38:48 PM
465732,WOM052,10/1/2024 12:39:47 PM
465733,WOM052,10/1/2024 12:40:31 PM
465734,WOM052,10/1/2024 12:41:27 PM
465735,WOM052,10/1/2024 12:41:53 PM
465736,WOM052,10/1/2024 12:43:14 PM
465737,WOM052,10/1/2024 12:45:13 PM
465738,WOM052,10/1/2024 12:45:53 PM
465739,WOM052,10/1/2024 12:46:47 PM
465740,WOM052,10/1/2024 12:48:13 PM
465741,WOM052,10/1/2024 12:48:39 PM
465742,WOM052,10/1/2024 12:50:39 PM
465743,WOM052,10/1/2024 12:50:56 PM
465744,WOM052,10/1/2024 12:52:16 PM
465745,WOM052,10/1/2024 12:52:33 PM
465746,WOM052,10/1/2024 12:53:04 PM
465747,WOM052,10/1/2024 12:53:29 PM
465748,WOM052,10/1/2024 12:54:22 PM
465749,WOM052,10/1/2024 12:55:51 PM
465750,WOM052,10/1/2024 12:56:34 PM
465751,WOM052,10/1/2024 12:57:00 PM
465752,WOM052,10/1/2024 12:57:31 PM
465753,WOM052,10/1/2024 12:58:29 PM
465754,WOM052,10/1/2024 1:00:44 PM
465755,WOM052,10/1/2024 1:02:30 PM
465756,WOM052,10/1/2024 1:03:22 PM
465757,WOM052,10/1/2024 1:03:47 PM
465758,WOM052,10/1/2024 1:06:26 PM
465759,WOM052,10/1/2024 1:21:22 PM
465760,WOM052,10/1/2024 1:24:49 PM
465761,WOM052,10/1/2024 1:25:55 PM
465762,WOM052,10/1/2024 1:27:34 PM
465763,WOM052,10/1/2024 1:28:41 PM
465764,WOM052,10/1/2024 1:28:59 PM
465765,WOM052,10/1/2024 1:30:12 PM
465766,WOM052,10/1/2024 1:30:26 PM
465767,WOM052,10/1/2024 1:31:39 PM
465768,WOM052,10/1/2024 1:32:01 PM
465769,WOM052,10/1/2024 1:33:33 PM
465770,WOM052,10/1/2024 1:36:01 PM
465771,WOM052,10/1/2024 1:37:13 PM
465772,WOM052,10/1/2024 1:37:48 PM
465773,WOM052,10/1/2024 1:38:29 PM
465774,WOM052,10/1/2024 1:39:27 PM
465775,WOM052,10/1/2024 1:39:53 PM
465776,WOM052,10/1/2024 1:41:52 PM
465777,WOM052,10/1/2024 1:42:14 PM
465778,WOM052,10/1/2024 1:42:57 PM
465779,WOM052,10/1/2024 1:44:18 PM
465780,WOM052,10/1/2024 1:45:03 PM
465781,WOM052,10/1/2024 1:46:21 PM
465782,WOM052,10/1/2024 1:46:53 PM
465783,WOM052,10/1/2024 1:47:38 PM
465784,WOM052,10/1/2024 1:49:38 PM
465785,WOM052,10/1/2024 1:49:38 PM
465786,WOM052,10/1/2024 1:51:38 PM
465787,WOM052,10/1/2024 1:51:38 PM
465788,WOM052,10/1/2024 1:53:37 PM
465789,WOM052,10/1/2024 1:53:37 PM
465790,WOM052,10/1/2024 1:55:37 PM
465791,WOM052,10/1/2024 1:55:37 PM
465792,WOM052,10/1/2024 1:55:55 PM
465793,WOM052,10/1/2024 1:56:19 PM
465794,WOM052,10/1/2024 2:01:18 PM
465795,WOM052,10/1/2024 2:03:37 PM
465796,WOM052,10/1/2024 2:18:34 PM
465797,WOM052,10/1/2024 3:58:02 PM
465798,WOM052,10/1/2024 3:59:24 PM
465799,WOM052,10/1/2024 4:12:28 PM
465800,WOM052,10/1/2024 4:12:51 PM
465801,WOM052,10/1/2024 4:27:48 PM
465802,WOM052,10/1/2024 4:35:37 PM
465803,WOM052,10/1/2024 4:36:55 PM
465804,WOM052,10/1/2024 4:51:52 PM
465805,WOM052,10/1/2024 5:04:51 PM
465806,WOM052,10/1/2024 5:06:27 PM
465807,WOM052,10/1/2024 5:08:27 PM
465808,WOM052,10/1/2024 5:10:27 PM
465809,WOM052,10/1/2024 5:11:42 PM
465810,WOM052,10/1/2024 5:11:47 PM
465811,WOM052,10/1/2024 5:13:37 PM
465812,WOM052,10/1/2024 5:15:36 PM
465813,WOM052,10/1/2024 5:16:13 PM
465814,WOM052,10/1/2024 5:17:22 PM
465815,WOM052,10/1/2024 5:17:22 PM
465816,WOM052,10/1/2024 5:17:43 PM
465817,WOM052,10/1/2024 5:19:37 PM
465818,WOM052,10/1/2024 5:34:33 PM
465819,WOM052,10/1/2024 9:44:22 PM
465820,WOM052,10/2/2024 2:08:59 AM
465821,WOM052,10/2/2024 2:08:59 AM
465822,WOM052,10/2/2024 6:24:24 AM
465823,WOM052,10/2/2024 7:44:05 AM
465824,WOM052,10/2/2024 7:44:05 AM
465825,WOM052,10/2/2024 7:48:13 AM
465826,WOM052,10/2/2024 7:48:13 AM
465827,WOM052,10/2/2024 8:09:25 AM
465828,WOM052,10/2/2024 8:09:25 AM
465829,WOM052,10/2/2024 8:10:35 AM
465830,WOM052,10/2/2024 8:12:46 AM
465831,WOM052,10/2/2024 8:17:46 AM
465832,WOM052,10/2/2024 8:18:49 AM
