,Unit,Time
74232,GHO842,10/1/2024 12:00:00 AM
74233,GHO842,10/1/2024 3:45:07 AM
74234,GHO842,10/1/2024 6:32:05 AM
74235,GHO842,10/1/2024 6:37:01 AM
74236,GHO842,10/1/2024 6:38:05 AM
74237,GHO842,10/1/2024 6:38:25 AM
74238,GHO842,10/1/2024 6:38:45 AM
74239,GHO842,10/1/2024 6:39:26 AM
74240,GHO842,10/1/2024 6:40:15 AM
74241,GHO842,10/1/2024 6:40:15 AM
74242,GHO842,10/1/2024 6:41:10 AM
74243,GHO842,10/1/2024 6:42:56 AM
74244,GHO842,10/1/2024 6:42:56 AM
74245,GHO842,10/1/2024 6:44:56 AM
74246,GHO842,10/1/2024 6:44:56 AM
74247,GHO842,10/1/2024 6:46:56 AM
74248,GHO842,10/1/2024 6:46:56 AM
74249,GHO842,10/1/2024 6:48:56 AM
74250,GHO842,10/1/2024 6:50:57 AM
74251,GHO842,10/1/2024 6:50:57 AM
74252,GHO842,10/1/2024 6:52:57 AM
74253,GHO842,10/1/2024 6:53:08 AM
74254,GHO842,10/1/2024 6:53:15 AM
74255,GHO842,10/1/2024 6:53:21 AM
74256,GHO842,10/1/2024 6:53:51 AM
74257,GHO842,10/1/2024 6:53:57 AM
74258,GHO842,10/1/2024 6:54:45 AM
74259,GHO842,10/1/2024 6:56:25 AM
74260,GHO842,10/1/2024 6:57:00 AM
74261,GHO842,10/1/2024 6:57:24 AM
74262,GHO842,10/1/2024 6:57:43 AM
74263,GHO842,10/1/2024 6:58:42 AM
74264,GHO842,10/1/2024 6:59:03 AM
74265,GHO842,10/1/2024 6:59:07 AM
74266,GHO842,10/1/2024 6:59:17 AM
74267,GHO842,10/1/2024 7:00:37 AM
74268,GHO842,10/1/2024 7:00:41 AM
74269,GHO842,10/1/2024 7:00:47 AM
74270,GHO842,10/1/2024 7:00:53 AM
74271,GHO842,10/1/2024 7:01:42 AM
74272,GHO842,10/1/2024 7:03:42 AM
74273,GHO842,10/1/2024 7:05:42 AM
74274,GHO842,10/1/2024 7:07:43 AM
74275,GHO842,10/1/2024 7:07:43 AM
74276,GHO842,10/1/2024 7:08:11 AM
74277,GHO842,10/1/2024 7:09:25 AM
74278,GHO842,10/1/2024 7:09:25 AM
74279,GHO842,10/1/2024 7:13:27 AM
74280,GHO842,10/1/2024 7:13:27 AM
74281,GHO842,10/1/2024 7:15:08 AM
74282,GHO842,10/1/2024 7:15:08 AM
74283,GHO842,10/1/2024 7:15:41 AM
74284,GHO842,10/1/2024 7:16:26 AM
74285,GHO842,10/1/2024 7:17:28 AM
74286,GHO842,10/1/2024 7:17:53 AM
74287,GHO842,10/1/2024 7:22:53 AM
74288,GHO842,10/1/2024 7:24:58 AM
74289,GHO842,10/1/2024 7:25:24 AM
74290,GHO842,10/1/2024 7:26:53 AM
74291,GHO842,10/1/2024 7:28:05 AM
74292,GHO842,10/1/2024 7:29:00 AM
74293,GHO842,10/1/2024 7:30:59 AM
74294,GHO842,10/1/2024 7:31:15 AM
74295,GHO842,10/1/2024 7:32:08 AM
74296,GHO842,10/1/2024 7:34:14 AM
74297,GHO842,10/1/2024 7:34:31 AM
74298,GHO842,10/1/2024 7:36:29 AM
74299,GHO842,10/1/2024 7:36:49 AM
74300,GHO842,10/1/2024 7:36:55 AM
74301,GHO842,10/1/2024 7:37:27 AM
74302,GHO842,10/1/2024 7:39:00 AM
74303,GHO842,10/1/2024 7:40:01 AM
74304,GHO842,10/1/2024 7:42:01 AM
74305,GHO842,10/1/2024 7:42:40 AM
74306,GHO842,10/1/2024 7:44:39 AM
74307,GHO842,10/1/2024 7:46:39 AM
74308,GHO842,10/1/2024 7:48:40 AM
74309,GHO842,10/1/2024 7:48:40 AM
74310,GHO842,10/1/2024 7:50:40 AM
74311,GHO842,10/1/2024 7:50:40 AM
74312,GHO842,10/1/2024 7:52:40 AM
74313,GHO842,10/1/2024 7:54:40 AM
74314,GHO842,10/1/2024 7:56:41 AM
