,SIMCARD,LINEA,TOTAL,RAZON SOCIAL
0,8957123112215166354,9101426921,33.71,TRACKING SOLUTIONS TSO
1,8957123112215165653,9101140437,32.69,TRACKING SOLUTIONS TSO
2,8957123112215383793,9101191443,32.29,TRACKING SOLUTIONS TSO
3,8957123112215165505,9101330521,32.13,TRACKING SOLUTIONS TSO
4,8957123112215166859,9101313382,32.13,TRACKING SOLUTIONS TSO
5,8957123112215383785,9101330947,31.93,TRACKING SOLUTIONS TSO
6,8957123110529628689,9101184360,24.17,TRACKING SOLUTIONS TSO
7,8957123112215169267,9101441904,24.16,TRACKING SOLUTIONS TSO
8,8957123112215169283,9101442842,21.24,TRACKING SOLUTIONS TSO
9,8957123112215383926,9101307192,18.98,TRACKING SOLUTIONS TSO
10,8957123112215164623,9101189726,18.65,TRACKING SOLUTIONS TSO
11,8957123112215165729,9101405654,18.09,TRACKING SOLUTIONS TSO
12,8957123112215166073,9101159849,17.54,TRACKING SOLUTIONS TSO
13,8957123112215163203,9101156148,17.52,TRACKING SOLUTIONS TSO
14,8957123112215163351,9101140640,17.17,TRACKING SOLUTIONS TSO
15,8957123112215163260,9101196415,16.54,TRACKING SOLUTIONS TSO
16,8957123112215161967,9101185715,16.34,TRACKING SOLUTIONS TSO
17,8957123112215168558,9101193646,16.22,TRACKING SOLUTIONS TSO
18,8957123112215166966,9101198022,15.31,TRACKING SOLUTIONS TSO
19,8957123112215164219,9101053687,15.2,TRACKING SOLUTIONS TSO
20,8957123112215163187,9101190927,14.59,TRACKING SOLUTIONS TSO
21,8957123112009138999,9101183231,14.03,TRACKING SOLUTIONS TSO
22,8957123112215169325,9101189757,13.69,TRACKING SOLUTIONS TSO
23,8957123112215166925,9101324018,13.64,TRACKING SOLUTIONS TSO
24,8957123112215166800,9101168131,13.49,TRACKING SOLUTIONS TSO
25,8957123111901412189,9101164041,13.09,TRACKING SOLUTIONS TSO
26,8957123411800584033,9101140882,12.04,TRACKING SOLUTIONS TSO
27,8957123112215169192,9101431610,11.37,TRACKING SOLUTIONS TSO
28,8957123112215163229,9101167789,11.09,TRACKING SOLUTIONS TSO
29,8957123112215169333,9101195502,10.83,TRACKING SOLUTIONS TSO
30,8957123411800053252,9101138933,10.68,TRACKING SOLUTIONS TSO
31,8957123112215348275,9101126880,10.63,TRACKING SOLUTIONS TSO
32,8957123112006378630,9101141801,10.45,TRACKING SOLUTIONS TSO
33,8957123111901412148,9101148530,10.43,TRACKING SOLUTIONS TSO
34,8957123112009139096,9101153389,10.16,TRACKING SOLUTIONS TSO
35,8957123112009139344,9101178358,9.91,TRACKING SOLUTIONS TSO
36,8957123112009139336,9101329885,9.84,TRACKING SOLUTIONS TSO
37,8957123111901412155,9101146648,9.73,TRACKING SOLUTIONS TSO
38,8957123411800583969,9101144641,9.72,TRACKING SOLUTIONS TSO
39,8957123110545806723,9101275760,9.63,TRACKING SOLUTIONS TSO
40,8957123411800583985,9101146581,9.47,TRACKING SOLUTIONS TSO
41,8957123112215165646,9101163588,9.43,TRACKING SOLUTIONS TSO
42,8957123112215340298,9101415583,9.31,TRACKING SOLUTIONS TSO
43,8957123111416388528,9101197449,9.3,TRACKING SOLUTIONS TSO
44,8957123111901412098,9101142761,9.2,TRACKING SOLUTIONS TSO
45,8957123112215382472,9101326828,9.13,TRACKING SOLUTIONS TSO
46,8957123112215168202,9101386494,9.08,TRACKING SOLUTIONS TSO
47,8957123112215161538,9101392591,8.79,TRACKING SOLUTIONS TSO
48,8957123111901412395,9101140849,8.64,TRACKING SOLUTIONS TSO
49,8957123112006379315,9101324110,8.6,TRACKING SOLUTIONS TSO
50,8957123112215167345,9101382596,8.55,TRACKING SOLUTIONS TSO
51,8957123112215170117,9101392310,8.51,TRACKING SOLUTIONS TSO
52,8957123112215383868,9101164749,8.73,TRACKING SOLUTIONS TSO
53,8957123411800051009,9101324207,8.47,TRACKING SOLUTIONS TSO
54,8957123112215162692,9101151929,8.44,TRACKING SOLUTIONS TSO
55,8957123112009139294,9101150511,8.43,TRACKING SOLUTIONS TSO
56,8957123111416388585,9101180246,8.42,TRACKING SOLUTIONS TSO
57,8957123112102786470,9101137977,8.33,TRACKING SOLUTIONS TSO
58,8957123112102786629,9101164029,8.25,TRACKING SOLUTIONS TSO
59,8957123112215163211,9101152294,8.11,TRACKING SOLUTIONS TSO
60,8957123112215166479,9101175821,8.07,TRACKING SOLUTIONS TSO
61,8957123112215382712,9101367451,8.05,TRACKING SOLUTIONS TSO
62,8957123112215163401,9101162534,8.04,TRACKING SOLUTIONS TSO
63,8957123110538885189,9101184312,8.02,TRACKING SOLUTIONS TSO
64,8957123111901412106,9101152422,8.02,TRACKING SOLUTIONS TSO
65,8957123611201373841,9101180258,7.95,TRACKING SOLUTIONS TSO
66,8957123112215168426,9101182943,7.95,TRACKING SOLUTIONS TSO
67,8957123112215165828,9101146314,7.93,TRACKING SOLUTIONS TSO
68,8957123411800584009,9101165915,7.92,TRACKING SOLUTIONS TSO
69,8957123112215380526,9101382471,7.89,TRACKING SOLUTIONS TSO
70,8957123112215169879,9101400303,7.84,TRACKING SOLUTIONS TSO
71,8957123112215160647,9101388732,7.83,TRACKING SOLUTIONS TSO
72,8957123112215162650,9101326629,7.83,TRACKING SOLUTIONS TSO
73,8957123112215162742,9101150848,7.83,TRACKING SOLUTIONS TSO
74,8957123112215384031,9101342666,7.8,TRACKING SOLUTIONS TSO
75,8957123112215166545,9101163818,7.78,TRACKING SOLUTIONS TSO
76,8957123112215165810,9101142660,7.73,TRACKING SOLUTIONS TSO
77,8957123112009139286,9101182238,7.72,TRACKING SOLUTIONS TSO
78,8957123112215162809,9101261176,7.72,TRACKING SOLUTIONS TSO
79,8957123112115871939,9101403054,7.72,TRACKING SOLUTIONS TSO
